INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목1   ','   아이디1   ','   닉네임1   ',   0   ,'   내용1      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목18   ','   아이디18   ','   닉네임18   ',   0   ,'   내용18      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목19   ','   아이디19   ','   닉네임19   ',   0   ,'   내용19      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목20   ','   아이디20   ','   닉네임20   ',   0   ,'   내용20      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목21   ','   아이디21   ','   닉네임21   ',   0   ,'   내용21      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목22   ','   아이디22   ','   닉네임22   ',   0   ,'   내용22      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목23   ','   아이디23   ','   닉네임23   ',   0   ,'   내용23      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목24   ','   아이디24   ','   닉네임24   ',   0   ,'   내용24      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목25   ','   아이디25   ','   닉네임25   ',   0   ,'   내용25      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목26   ','   아이디26   ','   닉네임26   ',   0   ,'   내용26      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목27   ','   아이디27   ','   닉네임27   ',   0   ,'   내용27      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목28   ','   아이디28   ','   닉네임28   ',   0   ,'   내용28      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목29   ','   아이디29   ','   닉네임29   ',   0   ,'   내용29      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목30   ','   아이디30   ','   닉네임30   ',   0   ,'   내용30      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목31   ','   아이디31   ','   닉네임31   ',   0   ,'   내용31      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목32   ','   아이디32   ','   닉네임32   ',   0   ,'   내용32      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목33   ','   아이디33   ','   닉네임33   ',   0   ,'   내용33      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목34   ','   아이디34   ','   닉네임34   ',   0   ,'   내용34      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목35   ','   아이디35   ','   닉네임35   ',   0   ,'   내용35      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목36   ','   아이디36   ','   닉네임36   ',   0   ,'   내용36      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목37   ','   아이디37   ','   닉네임37   ',   0   ,'   내용37      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목38   ','   아이디38   ','   닉네임38   ',   0   ,'   내용38      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목39   ','   아이디39   ','   닉네임39   ',   0   ,'   내용39      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목40   ','   아이디40   ','   닉네임40   ',   0   ,'   내용40      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목41   ','   아이디41   ','   닉네임41   ',   0   ,'   내용41      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목42   ','   아이디42   ','   닉네임42   ',   0   ,'   내용42      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목43   ','   아이디43   ','   닉네임43   ',   0   ,'   내용43      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목44   ','   아이디44   ','   닉네임44   ',   0   ,'   내용44      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목45   ','   아이디45   ','   닉네임45   ',   0   ,'   내용45      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목46   ','   아이디46   ','   닉네임46   ',   0   ,'   내용46      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목47   ','   아이디47   ','   닉네임47   ',   0   ,'   내용47      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목48   ','   아이디48   ','   닉네임48   ',   0   ,'   내용48      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목49   ','   아이디49   ','   닉네임49   ',   0   ,'   내용49      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목50   ','   아이디50   ','   닉네임50   ',   0   ,'   내용50      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목51   ','   아이디51   ','   닉네임51   ',   0   ,'   내용51      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목52   ','   아이디52   ','   닉네임52   ',   0   ,'   내용52      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목53   ','   아이디53   ','   닉네임53   ',   0   ,'   내용53      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목54   ','   아이디54   ','   닉네임54   ',   0   ,'   내용54      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목55   ','   아이디55   ','   닉네임55   ',   0   ,'   내용55      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목56   ','   아이디56   ','   닉네임56   ',   0   ,'   내용56      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목57   ','   아이디57   ','   닉네임57   ',   0   ,'   내용57      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목58   ','   아이디58   ','   닉네임58   ',   0   ,'   내용58      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목59   ','   아이디59   ','   닉네임59   ',   0   ,'   내용59      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목60   ','   아이디60   ','   닉네임60   ',   0   ,'   내용60      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목61   ','   아이디61   ','   닉네임61   ',   0   ,'   내용61      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목62   ','   아이디62   ','   닉네임62   ',   0   ,'   내용62      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목63   ','   아이디63   ','   닉네임63   ',   0   ,'   내용63      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목64   ','   아이디64   ','   닉네임64   ',   0   ,'   내용64      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목65   ','   아이디65   ','   닉네임65   ',   0   ,'   내용65      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목66   ','   아이디66   ','   닉네임66   ',   0   ,'   내용66      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목67   ','   아이디67   ','   닉네임67   ',   0   ,'   내용67      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목68   ','   아이디68   ','   닉네임68   ',   0   ,'   내용68      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목69   ','   아이디69   ','   닉네임69   ',   0   ,'   내용69      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목70   ','   아이디70   ','   닉네임70   ',   0   ,'   내용70      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목71   ','   아이디71   ','   닉네임71   ',   0   ,'   내용71      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목72   ','   아이디72   ','   닉네임72   ',   0   ,'   내용72      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목73   ','   아이디73   ','   닉네임73   ',   0   ,'   내용73      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목74   ','   아이디74   ','   닉네임74   ',   0   ,'   내용74      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목75   ','   아이디75   ','   닉네임75   ',   0   ,'   내용75      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목76   ','   아이디76   ','   닉네임76   ',   0   ,'   내용76      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목77   ','   아이디77   ','   닉네임77   ',   0   ,'   내용77      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목78   ','   아이디78   ','   닉네임78   ',   0   ,'   내용78      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목79   ','   아이디79   ','   닉네임79   ',   0   ,'   내용79      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목80   ','   아이디80   ','   닉네임80   ',   0   ,'   내용80      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목81   ','   아이디81   ','   닉네임81   ',   0   ,'   내용81      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목82   ','   아이디82   ','   닉네임82   ',   0   ,'   내용82      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목83   ','   아이디83   ','   닉네임83   ',   0   ,'   내용83      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목84   ','   아이디84   ','   닉네임84   ',   0   ,'   내용84      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목85   ','   아이디85   ','   닉네임85   ',   0   ,'   내용85      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목86   ','   아이디86   ','   닉네임86   ',   0   ,'   내용86      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목87   ','   아이디87   ','   닉네임87   ',   0   ,'   내용87      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목88   ','   아이디88   ','   닉네임88   ',   0   ,'   내용88      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목89   ','   아이디89   ','   닉네임89   ',   0   ,'   내용89      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목90   ','   아이디90   ','   닉네임90   ',   0   ,'   내용90      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목91   ','   아이디91   ','   닉네임91   ',   0   ,'   내용91      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목92   ','   아이디92   ','   닉네임92   ',   0   ,'   내용92      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목93   ','   아이디93   ','   닉네임93   ',   0   ,'   내용93      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목94   ','   아이디94   ','   닉네임94   ',   0   ,'   내용94      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목95   ','   아이디95   ','   닉네임95   ',   0   ,'   내용95      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목96   ','   아이디96   ','   닉네임96   ',   0   ,'   내용96      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목97   ','   아이디97   ','   닉네임97   ',   0   ,'   내용97      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목98   ','   아이디98   ','   닉네임98   ',   0   ,'   내용98      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목99   ','   아이디99   ','   닉네임99   ',   0   ,'   내용99      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목100   ','   아이디100   ','   닉네임100   ',   0   ,'   내용100      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목101   ','   아이디101   ','   닉네임101   ',   0   ,'   내용101      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목102   ','   아이디102   ','   닉네임102   ',   0   ,'   내용102      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목103   ','   아이디103   ','   닉네임103   ',   0   ,'   내용103      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목104   ','   아이디104   ','   닉네임104   ',   0   ,'   내용104      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목105   ','   아이디105   ','   닉네임105   ',   0   ,'   내용105      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목106   ','   아이디106   ','   닉네임106   ',   0   ,'   내용106      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목107   ','   아이디107   ','   닉네임107   ',   0   ,'   내용107      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목108   ','   아이디108   ','   닉네임108   ',   0   ,'   내용108      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목109   ','   아이디109   ','   닉네임109   ',   0   ,'   내용109      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목110   ','   아이디110   ','   닉네임110   ',   0   ,'   내용110      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목111   ','   아이디111   ','   닉네임111   ',   0   ,'   내용111      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목112   ','   아이디112   ','   닉네임112   ',   0   ,'   내용112      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목113   ','   아이디113   ','   닉네임113   ',   0   ,'   내용113      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목114   ','   아이디114   ','   닉네임114   ',   0   ,'   내용114      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목115   ','   아이디115   ','   닉네임115   ',   0   ,'   내용115      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목116   ','   아이디116   ','   닉네임116   ',   0   ,'   내용116      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목117   ','   아이디117   ','   닉네임117   ',   0   ,'   내용117      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목118   ','   아이디118   ','   닉네임118   ',   0   ,'   내용118      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목119   ','   아이디119   ','   닉네임119   ',   0   ,'   내용119      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목120   ','   아이디120   ','   닉네임120   ',   0   ,'   내용120      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목121   ','   아이디121   ','   닉네임121   ',   0   ,'   내용121      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목122   ','   아이디122   ','   닉네임122   ',   0   ,'   내용122      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목123   ','   아이디123   ','   닉네임123   ',   0   ,'   내용123      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목124   ','   아이디124   ','   닉네임124   ',   0   ,'   내용124      ');
